Sno,Bank Name,Branch Name,IFSC Code
271,Indian Bank,AYODHYA,IDIB000A550
272,UNION BANK OF INDIA,GOSAINGANJ,UBIN0567981
273,Bank of Baroda, FAIZABAD,BARB0DEOKAL
274,PUNJAB NATIONAL BANK,KUREBHAR,PUNB0986600
275,Canara Bank,SIWAN,CNRB0005376
276,State Bank of India,SHAHJADPUR,SBIN0012322
277,State Bank of India,UNCHAHAR,SBIN0013269
278,State Bank of India,SARAIMEER,SBIN0011190
279,PUNJAB NATIONAL BANK,TAMKUHI ROAD,PUNB0475700
280,State Bank of India,DHARMAPUR,SBIN0016468
281,State Bank of India, VARANASI,SBIN0002552
282,State Bank of India,SARAIMEER,SBIN0011190
283,UNION BANK OF INDIA,VAGHAUR ,UBIN0572896
284,State Bank of India,MEHNAGAR,SBIN0013316
285,Canara Bank,AZAMGARH,CNRB0002659
286,UNION BANK OF INDIA,BILARIAGANJ,UBIN0530328
287,ICICI BANK LIMITED,GORAKHPUR,ICIC0001919
288,UNION BANK OF INDIA,BELASIA,UBIN0554448
289,UNION BANK OF INDIA,CHANDESHWAR,UBIN0536652
290,UNION BANK OF INDIA, AZAMGARH,UBIN0570257
291,Bank of Baroda,AZAMGARH,BARB0AZAMGA
292,UNION BANK OF INDIA,CHANDPATTI,UBIN0545937
293,Bank Of India,GARHWA,BKID0004594
294,State Bank of India,SIWAN,SBIN0000187
295,INDIAN BANK,CHATRA,IDIB000C559
296,State Bank of India,JIYANPUR,SBIN0012995
297,UNION BANK OF INDIA,VARANASI,UBIN0558516
298,PUNJAB NATIONAL BANK,AZAMGARH,PUNB0673400
299,CENTRAL BANK OF INDIA,AZAMGARH,CBIN0282035
300,UNION BANK OF INDIA,SAGRI,UBIN0530310
301,INDIA POST PAYMENT BANK,CORPORATE OFFICE,IPOS0000001
302,State Bank of India,AZAMGARH,SBIN0000014
303,UNION BANK OF INDIA,LANKA,UBIN0564931
304,State Bank of India,KERAKAT,SBIN0001059
305,State Bank of India,MIRZAMURAD,SBIN0006202
306,State Bank of India,T.D COLLEGE,SBIN0010176
307,State Bank of India,SHAHJADPUR,SBIN0012322
308,UNION BANK OF INDIA,BELASIA,UBIN0554448
309,CENTRAL BANK OF INDIA,AZAMGARH,CBIN0282035
310,State Bank of India,AZAMGARH,SBIN0000014
311,CENTRAL BANK OF INDIA,VARANASI,CBIN0280194
312,Bank of Baroda,SAKALDIHA,BARB0SAKABS
313,UNION BANK OF INDIA,SARAIMEER,UBIN0542539
314,BANDHAN BANK LIMITED,Azamgarh,BDBL0001742
315,INDIAN BANK,PANDEYPUR,IDIB000P557
316,Bank of Baroda,JAUNPUR,BARB0BADJAU
317,Bank of Baroda, UTTAR PRADESH ,BARB0BUPGBX
318,KOTAK MAHINDRA BANK LIMITED,VARANASI,KKBK0000352
319,UNION BANK OF INDIA, AZAMGAR,UBIN0558826
320,UNION BANK OF INDIA, MAULANIPUR,UBIN0547573
321,UNION BANK OF INDIA,KANJARA ,UBIN0546071
322,State Bank of India,BUXAR,SBIN0012611
323,HDFC Bank,LALGANJ ,HDFC0004048
324,HDFC Bank,KANPUR,HDFC0002080
325,ICICI BANK LIMITED,DELHI-SDA,ICIC0001825
326,UNION BANK OF INDIA,JALALPUR,UBIN0534170
327,IDBI BANK, LUCKNOW,IBKL0001176
328,State Bank of India,SULTANPUR,SBIN0000188
329,Bank of Baroda,AMBEDKAR NAGAR,BARB0BASKHA
330,UNION BANK OF INDIA,HEERAPATI,UBIN0546593
331,State Bank of India, LAKHIMPUR KHERI,SBIN0017331
332,PUNJAB NATIONAL BANK, AZAMGARH,PUNB0795700
333,State Bank of India,AZAMGARH,SBIN0000014
334,PUNJAB NATIONAL BANK,PHOOLPUR,PUNB0673500
335,State Bank of India,MOHAMMADPUR,SBIN0013157
336,UNION BANK OF INDIA,CHANDPATTI,UBIN0545937
337,Axis Bank,AZAMGARH,UTIB0000528
338,HDFC Bank,LALGANJ ,HDFC0004048
339,State Bank of India, GAYA,SBIN0003588
340,State Bank of India,AZAMGARH,SBIN0000014
341,Canara Bank,AZAMGARH,CNRB0002659
342,HDFC Bank,MAU NATH ,HDFC0001910
343,UNION BANK OF INDIA, AZAMGAR,UBIN0558826
344,UNION BANK OF INDIA,SAGRI,UBIN0530310
345,UNION BANK OF INDIA,LACHHIRAMPUR,UBIN0572217
346,HDFC Bank,LALGANJ ,HDFC0004048
347,State Bank of India,CIVIL COURT,SBIN0008003
348,State Bank of India,BASDEO NAGAR,SBIN0008321
349,PUNJAB NATIONAL BANK, GORAKHPUR,PUNB0167500
350,State Bank of India,HARRAIYA,SBIN0008448
351,State Bank of India,DINARA,SBIN0012610
352,UNION BANK OF INDIA,HEERAPATI,UBIN0546593
353,INDIAN BANK,PANDEYPUR,IDIB000P557
354,State Bank of India,ILTIFATGANJ,SBIN0006005
355,State Bank of India,AKABARPUR,SBIN0000003
356,PUNJAB NATIONAL BANK, GHAZIPUR ,PUNB0387100
357,HDFC Bank,VARANASI ,HDFC0000468
358,State Bank of India,NABINAGAR,SBIN0002980
359,State Bank of India,MUZAFFARPUR ,SBIN0014131
360,UNION BANK OF INDIA, AZAMGARH,UBIN0536954
361,State Bank of India,BASKHARI,SBIN0011233
362,INDIAN BANK,MEHNAJPUR,IDIB000M696
363,State Bank of India, SULTANPUR,SBIN0015114
364,HDFC Bank,BARAUT,HDFC0002732
365,State Bank of India,JOYA,SBIN0007413
366,INDIAN OVERSEAS BANK,LUCKNOW,IOBA0000207
367,Canara Bank,RAVLI,CNRB0018765
368,PUNJAB NATIONAL BANK,KARNALSECTOR ,PUNB0102110
369,UNION BANK OF INDIA,MOUDHA ,UBIN0560138
370,Canara Bank, BAGHPAT,CNRB0018560
371,PUNJAB NATIONAL BANK,GAJRAULA,PUNB0177500
372,Axis Bank,VIBHUTI KHAND,UTIB0002800
373,UCO BANK,BHAINSA,UCBA0003220
374,UNION BANK OF INDIA, MEERUT,UBIN0549665
375,Canara Bank,Collectrate Baghpat,CNRB0018626
376,PUNJAB NATIONAL BANK,BARNAWA,PUNB0161210
377,PUNJAB NATIONAL BANK,TAMKUHI ROAD,PUNB0475700
378,Canara Bank,COLLECTORATE ,CNRB0018626
379,State Bank of India,ADB SHAMLI,SBIN0003637
380,State Bank of India,VASUNDHARA,SBIN0004326
381,State Bank of India,DASNA,SBIN0003146
382,State Bank of India,LAUKAHA,SBIN0005436
383,Axis Bank,GREEN PARK,UTIB0000015
384,INDIAN BANK,BAGPAT,IDIB000B541
385,CENTRAL BANK OF INDIA,SHIKOHABAD,CBIN0280232
386,CENTRAL BANK OF INDIA,DHUPKARI,CBIN0284797
387,State Bank of India,MOTILAL NEHRU ,SBIN0006838
388,Bank Of India,KUMHRAWAN,BKID0006808
389,State Bank of India, DALTONGANJ,SBIN0003144
390,INDIAN BANK,BABAGANJ,IDIB000B506
391,INDIAN BANK,GILAULA,IDIB000G573
392,CENTRAL BANK OF INDIA,MIHINPURWA,CBIN0280212
393,State Bank of India,KURWA,SBIN0009874
394,State Bank of India,SOUTH CITY,SBIN0016167
395,INDIAN BANK,BURNAPUR,IDIB000B675
396,UNION BANK OF INDIA,BAHRAICH,UBIN0554073
397,Punjab National Bank,LUCKNOW,PUNB0197510
398,INDIAN BANK,BAHRAICH ,IDIB000B551
399,Bank of Baroda, BARA BANKI,BARB0HAIDER
400,Bank Of India,BAHRAICH,BKID0006970
401,PUNJAB NATIONAL BANK,HAIBATMAU,PUNB0097110
402,ALLAHABAD BANK, BAHRAICH,IDIB000V530
403,INDIAN BANK,BAHRAICH,IDIB000V530
404,State Bank of India,BALRAMPUR,SBIN0000019
405,State Bank of India,SANDA,SBIN0008972
406,State Bank of India,NANPARA,SBIN0000140
407,Canara Bank,BAHRAICH,CNRB0003212
408,UNION BANK OF INDIA,JANSO KI MANDI,UBIN0544931
409,PUNJAB NATIONAL BANK,GORAKHPUR,PUNB0129610
410,State Bank of India,MASKANWA ,SBIN0011231
411,State Bank of India,BHINGA,SBIN0011222
412,HDFC Bank,KANPUR ,HDFC0000298
413,Punjab National Bank,BAHARAICH,PUNB0070110
414,Bank of Baroda,SITAPUR ,BARB0SITAPU
415,State Bank of India,FATEHPUR,SBIN0000215
